Model,Accuracy,Precision (avg),Recall (avg),F1-Score (avg),F1 not_fallen,F1 fallen,FPS,Inference Time (ms),Model Size (MB),Detection Rate
model1_the_hystory,0.9774153074027604,0.9774121232730066,0.9774301619688153,0.9774149874055416,0.9775,0.9773299748110831,40.754860005629396,24.536950927125545,5.186487197875977,0.9937655860349127
model2_kiko_è_nano,0.982521847690387,0.9828083089015034,0.9825374064837905,0.9825196408529742,0.9823232323232324,0.9827160493827161,24.80675835960604,40.31159515095471,17.600131034851074,0.9987531172069826
thelastdance_11,0.986284289276808,0.9864325171693042,0.986284289276808,0.986283244319021,0.9861635220125786,0.9864029666254636,24.51427932701178,40.79255142116785,5.213647842407227,1.0
